cve_id,executive_summary,exploitation_consequence,observed_in_the_wild
CVE-2012-0008,"An access control vulnerability exists when loading add-ins in Microsoft Visual Studio 2010 Service Pack 1 and earlier that, when exploited, allows an attacker to locally gain elevated privileges. Exploit code is not publicly available. Mitigation options include a vendor fix.iSIGHT Partners considers this a Low-risk vulnerability due to the local access and the valid credentials required to exploit this vulnerability. This vulnerability can only be exploited when the application is launched with higher privileges than the attacker. Customers with specific questions regarding this vulnerability can contact the Vulnerability Intelligence Team (VIT) at vuln_info@isightpartners.com.",Security Bypass,false
CVE-2013-1609,"An unquoted search path vulnerability exists in the File Collector and File PlaceHolder services in Symantec Enterprise Vault for File System Archiving 10.0.0 and earlier that, when exploited, allows an attacker to locally escalate privileges. Exploit code is not publicly available. Mitigation options include a vendor fix.iSIGHT Partners considers this a Low-risk vulnerability due to the local access and authentication required for exploitation. Customers with specific questions regarding this vulnerability can contact the Vulnerability Intelligence Team (VIT) at vuln_info@isightpartners.com.",Security Bypass,false
CVE-2014-0759,"An unquoted search path or element vulnerability exists within the service path in Schneider Electric Floating License Manager 1.4.0 and earlier that, when exploited, allows an attacker to locally gain elevated privileges. Exploit code is not publicly available. Mitigation options include a vendor fix. ",Code Execution,false
,,,
CVE-2013-2566,"A cryptographic vulnerability exists in the RC4 stream cipher component in Secure Socket Layer 3.0 Transport Layer Security 1.0 that, when exploited, allows an attacker to remotely decrypt potentially sensitive information. Exploit code is not publicly available. Mitigation options include a workaround and a vendor fix.",Information Disclosure,false
CVE-2015-2808,"A cryptographic vulnerability exists in the TLS encryption in Hewlett-Packard's SiteScope versions 11.3 and prior that, when exploited, allows an attacker to remotely obtain potentially sensitive information. Exploit code is not publicly available. Mitigation options include a vendor fix.\n&nbsp;\niSIGHT Partners considers this a Low-risk vulnerability due to the limited impact upon exploitation. Customers with specific questions regarding this vulnerability can contact the Vulnerability &amp; Exploitation Team at analystaccess@isightpartners.com.",Information Disclosure,false
CVE-2008-5161,"An unspecified vulnerability exists in block cipher sessions in SSH Tectia Server versions 6.0.4 and OpenSSH 4.7p1 and earlier that, when exploited, allows attackers to remotely disclose portions of an SSH communication. Customers should be aware that exploit code is not publicly available. Mitigation options include a workaround and a vendor fix. <br /><br />",Information Disclosure,false
CVE-2017-0290,"An access of resource using incompatible type vulnerability exists within the&nbsp;MsMpEng Malware Protection service in&nbsp;Microsoft Malware Protection Engine versions 1.1.13701.0 and earlier that, when exploited, allows an attacker to remotely execute arbitrary code or have other undesirable impacts on the system. Proof-of-concept (PoC) code is publicly available. Mitigation options include a vendor fix. Exploitation rating: Available",Code Execution,false
CVE-2017-8535,"An unspecified vulnerability exists within Microsoft Malware Protection Engine 1.1.13704.0 and earlier that, when exploited, allows an attacker to remotely cause a denial-of-service (DoS) condition.&nbsp;Proof-of-concept (PoC) code is publicly available. Mitigation options include a vendor fix. Exploitation Rating: Available\n&nbsp;\nFireEye iSIGHT Intelligence considers this a Low-risk vulnerability due to the limited impact of exploitation. Customers with specific questions regarding this vulnerability can contact the Vulnerability &amp; Exploitation Team at analystaccess@fireeye.com.\n&nbsp;",Denial-of-Service (DoS),false
CVE-2017-8536,"An unspecified vulnerability exists within Microsoft Malware Protection Engine 1.1.13704.0 and earlier that, when exploited, allows an attacker to remotely cause a denial-of-service (DoS) condition.&nbsp;Proof-of-concept (PoC) code is publicly available. Mitigation options include a vendor fix. Exploitation Rating: Available\n&nbsp;\nFireEye iSIGHT Intelligence considers this a Low-risk vulnerability due to the limited impact of exploitation. Customers with specific questions regarding this vulnerability can contact the Vulnerability &amp; Exploitation Team at analystaccess@fireeye.com.\n&nbsp;",Denial-of-Service (DoS),false
CVE-2017-8537,"An unspecified vulnerability exists within Microsoft Malware Protection Engine 1.1.13704.0 and earlier that, when exploited, allows an attacker to remotely cause a denial-of-service (DoS) condition. Proof-of-concept (PoC) code is publicly available. Mitigation options include a vendor fix. Exploitation Rating: Available\n&nbsp;\nFireEye iSIGHT Intelligence considers this a Low-risk vulnerability due to the limited impact of exploitation. Customers with specific questions regarding this vulnerability can contact the Vulnerability &amp; Exploitation Team at analystaccess@fireeye.com.\n&nbsp;",Denial-of-Service (DoS),false
CVE-2017-8538,"An unspecified vulnerability exists within Microsoft Malware Protection Engine 1.1.13704.0 and earlier that, when exploited, allows an attacker to remotely execute arbitrary code. Proof-of-concept (PoC) code is publicly available. Mitigation options include a vendor fix. Exploitation Rating: Available\n&nbsp;",Code Execution,false
CVE-2017-8539,"An unspecified vulnerability exists within Microsoft Malware Protection Engine 1.1.13704.0 and earlier that, when exploited, allows an attacker to remotely cause a denial-of-service (DoS) condition. Exploit code is not publicly available. Mitigation options include a vendor fix. Exploitation Rating: No Known\n&nbsp;\nFireEye iSIGHT Intelligence considers this a Low-risk vulnerability due to the limited impact of exploitation. Customers with specific questions regarding this vulnerability can contact the Vulnerability &amp; Exploitation Team at analystaccess@fireeye.com.\n&nbsp;",Denial-of-Service (DoS),false
CVE-2017-8540,"An unspecified vulnerability exists within the garbage collection feature in Microsoft Malware Protection Engine 1.1.13704.0 and earlier that, when exploited, allows an attacker to remotely execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix. Exploitation Rating: Available\n&nbsp;",Code Execution,false
CVE-2017-8541,"A use after free vulnerability exists within the saved callers in Microsoft Malware Protection Engine 1.1.13704.0 and earlier that, when exploited, allows an attacker to remotely execute arbitrary code. Proof-of-concept (PoC) code is publicly available. Mitigation options include a vendor fix. Exploitation Rating: Available\n&nbsp;",Code Execution,false
CVE-2017-8542,"An unspecified vulnerability exists within Microsoft Malware Protection Engine 1.1.13704.0 and earlier that, when exploited, allows an attacker to remotely cause a denial-of-service (DoS) condition. Exploit code is not publicly available. Mitigation options include a vendor fix. Exploitation Rating: No Known\n&nbsp;\nFireEye iSIGHT Intelligence considers this a Low-risk vulnerability due to the limited impact of exploitation. Customers with specific questions regarding this vulnerability can contact the Vulnerability &amp; Exploitation Team at analystaccess@fireeye.com.\n&nbsp;",Denial-of-Service (DoS),false
CVE-2017-10053,An unspecified vulnerability exists within Oracle Java SE 8u131 2D. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2017-10067,An unspecified vulnerability exists within Oracle Java SE 8u131 Security. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10074,An unspecified vulnerability exists within Oracle Java SE 8u131 Hotspot. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10078,An unspecified vulnerability exists within Oracle Java SE 8u131 Scripting. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2017-10081,An unspecified vulnerability exists within Oracle Java SE 8u131 Hotspot. Exploit code is not publicly available. Mitigation options include a vendor fix.,Data Manipulation,false
CVE-2017-10086,An unspecified vulnerability exists within Oracle Java SE 8u131 JavaFX. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10087,An unspecified vulnerability exists within Oracle Java SE 8u131 Libraries. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10089,An unspecified vulnerability exists within Oracle Java SE 8u131 ImageIO. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10090,An unspecified vulnerability exists within Oracle Java SE 8u131 Libraries. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10096,An unspecified vulnerability exists within Oracle Java SE 8u131 JAXP. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10101,An unspecified vulnerability exists within Oracle Java SE 8u131 JAXP. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10102,An unspecified vulnerability exists within Oracle Java SE 8u131 RMI. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10104,An improper privilege management vulnerability exists within Oracle Java Advanced Management Console 2.6 Server. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10105,An unspecified vulnerability exists within Oracle Java SE 8u131 Deployment. Exploit code is not publicly available. Mitigation options include a vendor fix.,Data Manipulation,false
CVE-2017-10107,An unspecified vulnerability exists within Oracle Java SE 8u131 RMI. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10108,An unspecified vulnerability exists within Oracle Java SE 8u131 Serialization. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2017-10109,An unspecified vulnerability exists within Oracle Java SE 8u131 Serialization. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2017-10110,An unspecified vulnerability exists within Oracle Java SE 8u131 AWT. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10111,An unspecified vulnerability exists within Oracle Java SE 8u131 Libraries. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10114,An unspecified vulnerability exists within Oracle Java SE 8u131 JavaFX. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10115,An unspecified vulnerability exists within Oracle Java SE 8u131 JCE. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2017-10116,An unspecified vulnerability exists within Oracle Java SE 8u131 Security. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10117,An unspecified vulnerability exists within Oracle Java Advanced Management Console 2.6 Server. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2017-10118,An unspecified vulnerability exists within Oracle Java SE 8u131 JCE. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2017-10121,An unspecified vulnerability exists within Oracle Java Advanced Management Console 2.6 Server. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2017-10125,An unspecified vulnerability exists within Oracle Java SE 8u131 Deployment. Exploit code is not publicly available. Mitigation options include a vendor fix.,Security Bypass,false
CVE-2017-10135,An unspecified vulnerability exists within Oracle Java SE 8u131 JCE. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2017-10145,An unspecified vulnerability exists within Oracle Java Advanced Management Console 2.6 Server. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10176,An unspecified vulnerability exists within Oracle Java SE 8u131 Security. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2017-10193,An unspecified vulnerability exists within Oracle Java SE 8u131 Security. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2017-10198,An unspecified vulnerability exists within Oracle Java SE 8u131 Security. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2017-10243,An unspecified vulnerability exists within Oracle Java SE 8u131 JAX-WS. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-8516,"An unspecified vulnerability exists within the Analysis Services in Microsoft's SQL Server 2016 and earlier that, when exploited, allows an authenticated attacker to remotely obtain potentially sensitive information. Exploit code is not publicly available. Mitigation options include a vendor fix. Exploitation Rating: No Known\n&nbsp;\nFireEye iSIGHT Intelligence considers this a Low-risk vulnerability due to the limited impact and the authentication required for exploitation. Customers with specific questions regarding this vulnerability can contact the Vulnerability &amp; Exploitation Team at analystaccess@fireeye.com.",Information Disclosure,false
CVE-2016-10165,"An out-of-bounds read vulnerability exists within the Type_MLU_Read() function in the cmstypes.c file in Little CMS versions 2.6 and earlier that, when exploited, allows an attacker to remotely read heap memory and cause a denial-of-service (DoS) condition. Exploit code is not publicly available. Mitigation options include a vendor fix. Exploitation Rating: No Known\n&nbsp;\nFireEye iSIGHT Intelligence considers this a Low-risk vulnerability due to the limited impact of exploitation. Customers with specific questions regarding this vulnerability can contact the Vulnerability &amp; Exploitation Team at analystaccess@fireeye.com.",Denial-of-Service (DoS),false
CVE-2016-9841,"An out-of-bounds read vulnerability exists within the inftrees.c file in zlib versions 1.2.8 and earlier that, when exploited, allows an attacker to remotely cause a denial-of-service (DoS) condition. Exploit code is not publicly available. Mitigation options include a vendor fix.",Denial-of-Service (DoS),false
CVE-2017-10274,An unspecified vulnerability exists within Oracle Java SE 9 Smart Card IO. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2017-10281,An unspecified vulnerability exists within Oracle Java SE 9 Serialization. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2017-10285,An unspecified vulnerability exists within Oracle Java SE 9 RMI. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10293,An unspecified vulnerability exists within Oracle Java SE 9 Javadoc. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
,,,
CVE-2017-10309,An unspecified vulnerability exists within Oracle Java SE 9 Deployment. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10345,An unspecified vulnerability exists within Oracle Java SE 9 Serialization. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2017-10346,An unspecified vulnerability exists within Oracle Java SE 9 Hotspot. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-10347,An unspecified vulnerability exists within Oracle Java SE 9 Serialization. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2017-10348,An unspecified vulnerability exists within Oracle Java SE 9 Libraries. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2017-10349,An unspecified vulnerability exists within Oracle Java SE 9 JAXP. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2017-10350,An unspecified vulnerability exists within Oracle Java SE 9 JAX-WS. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2017-10355,An unspecified vulnerability exists within RedHat Enterprise Linux Workstation 7.0. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2017-10356,An unspecified vulnerability exists within RedHat Enterprise Linux Workstation 7.0. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2017-10357,An unspecified vulnerability exists within Oracle Java SE 9 Serialization. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2017-10388,An unspecified vulnerability exists within Oracle Java SE 9 Libraries. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2017-11937,"An unspecified vulnerability exists within Microsoft Malware Protection Engine versions&nbsp;1.1.14306.0 and earlier that, when exploited, allows an attacker to remotely execute arbitrary code and take control of a system. Exploit code is not publicly available. Mitigation options include a vendor fix. Exploitation Rating: No Known",Code Execution,false
CVE-2017-11940,"An unspecified vulnerability exists within Microsoft Malware Protection Engine versions&nbsp;1.1.14306.0 and earlier that, when exploited, allows an attacker to remotely execute arbitrary code and take control of a system. Exploit code is not publicly available. Mitigation options include a vendor fix. Exploitation Rating: No Known",Code Execution,false
,,,
CVE-2018-2581,An unspecified vulnerability exists within Oracle Java SE 9.0.1 JavaFX. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2018-2582,An unspecified vulnerability exists within Oracle Java SE 9.0.1 Hotspot. Exploit code is not publicly available. Mitigation options include a vendor fix.,Data Manipulation,false
CVE-2018-2588,An unspecified vulnerability exists within Oracle Java SE 9.0.1 LDAP. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2018-2599,An unspecified vulnerability exists within Oracle Java SE 9.0.1 JNDI. Exploit code is not publicly available. Mitigation options include a vendor fix.,Data Manipulation,false
CVE-2018-2602,An unspecified vulnerability exists within Oracle Java SE 9.0.1; Java SE Embedded: 8u151 I18n. Exploit code is not publicly available. Mitigation options include a vendor fix.,Security Bypass,false
CVE-2018-2603,An unspecified vulnerability exists within Schneider-Electric StruxureWare Data Center Expert 7.5.0. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2018-2618,An unspecified vulnerability exists within Oracle Java SE 9.0.1 JCE. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2018-2627,An unspecified vulnerability exists within Oracle Java SE 9.0.1 Installer. Exploit code is not publicly available. Mitigation options include a vendor fix.,Security Bypass,false
CVE-2018-2629,An unspecified vulnerability exists within Oracle Java SE 9.0.1 JGSS. Exploit code is not publicly available. Mitigation options include a vendor fix.,Data Manipulation,false
CVE-2018-2633,An unspecified vulnerability exists within Schneider-Electric StruxureWare Data Center Expert 7.5.0. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2018-2634,An unspecified vulnerability exists within Oracle Java SE 9.0.1 JGSS. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2018-2637,An unspecified vulnerability exists within Oracle Java SE 9.0.1 JMX. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2018-2638,An unspecified vulnerability exists within Oracle Java SE 9.0.1 Deployment. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2018-2639,An unspecified vulnerability exists within Oracle Java SE 9.0.1 Deployment. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2018-2641,An unspecified vulnerability exists within Oracle Java SE 9.0.1 AWT. Exploit code is not publicly available. Mitigation options include a vendor fix.,Data Manipulation,false
CVE-2018-2657,An unspecified vulnerability exists within Schneider-Electric StruxureWare Data Center Expert 7.5.0. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2018-2663,An unspecified vulnerability exists within Oracle Java SE 9.0.1 Libraries. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2018-2677,An unspecified vulnerability exists within Oracle Java SE 9.0.1 AWT. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2018-2678,An unspecified vulnerability exists within Oracle Java SE 9.0.1. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2018-0986,"An unspecified vulnerability exists within Microsoft Malware Protection Engine versions 1.1.14600.4 and earlier that, when exploited, allows an attacker to remotely execute arbitrary code and take control of the system. Proof-of-concept (PoC) code is publicly available. Mitigation options include a vendor fix. Exploitation Rating: Available",Code Execution,false
CVE-2018-2783,An unspecified vulnerability exists within HP XP7 Command View Advanced Edition Suite 8.4.0. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2018-2790,An unspecified vulnerability exists within Oracle Java SE 10 Security. Exploit code is not publicly available. Mitigation options include a vendor fix.,Data Manipulation,false
CVE-2018-2794,An unspecified vulnerability exists within Oracle Java SE 10 Security. Exploit code is not publicly available. Mitigation options include a vendor fix.,Security Bypass,false
CVE-2018-2795,An unspecified vulnerability exists within Oracle Java SE 10 Security. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2018-2796,An unspecified vulnerability exists within Oracle Java SE 10 Concurrency. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2018-2797,An unspecified vulnerability exists within Oracle Java SE 10 JMX. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2018-2798,An unspecified vulnerability exists within Oracle Java SE 10 AWT. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2018-2799,An unspecified vulnerability exists within Oracle Java SE 10 JAXP. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2018-2800,An unspecified vulnerability exists within Schneider-Electric StruxureWare Data Center Expert 7.6.0. Exploit code is not publicly available. Mitigation options include a vendor fix.,Information Disclosure,false
CVE-2018-2811,An unspecified vulnerability exists within Oracle Java SE 10 Install. Exploit code is not publicly available. Mitigation options include a vendor fix.,Security Bypass,false
CVE-2018-2814,An unspecified vulnerability exists within Oracle Java SE 10 Hotspot. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
CVE-2018-2815,An unspecified vulnerability exists within Oracle Java SE 10 Serialization. Exploit code is not publicly available. Mitigation options include a vendor fix.,Denial-of-Service (DoS),false
CVE-2018-2825,"An access control&nbsp;vulnerability exists within the setVolatile method in Oracle's Java SE version 10 that, when exploited, allows an attacker to remotely execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix. Exploitation Rating: No Known",Code Execution,false
CVE-2018-2826,An unspecified vulnerability exists within Oracle Java SE 10 Libraries. Exploit code is not publicly available. Mitigation options include a vendor fix.,Code Execution,false
